id,SMILES,Tg,FFV,Tc,Density,Rg
10142210.0,*NC(C)C(=O)NCC(=O)NCC(*)=O,208.6397491,,,,
13838538.0,*CCCCCCSSCCCCSS*,-41.26672381,,0.192,,
16498242.0,*C=CCCCCCCCC*,-17.2820223,,,,
30582999.0,*CCCCCCCCCCOC(=O)c1ccc(C(=O)NCCNC(=O)c2ccc(C(=O)O*)cc2)cc1,4.250402609,,,,
36217683.0,*c1nc2cc3sc(-c4cc(OCCCCCC)c(*)cc4OCCCCCC)nc3cc2s1,168.5263131,,,,
41684723.0,*Oc1ccc(-c2cc(OCCCCCC)c(-c3ccc(OC(=O)c4ccc(C(*)=O)cc4)cc3)cc2OCCCCCC)cc1,81.55306128,,,,
42779237.0,*c1cccc(OCCCCCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCCCCCOc2cccc(-c3nnc(*)s3)c2)c1,35.51374296,,,,
48005195.0,*C=Nc1cccc(N=Cc2ccc(Sc3ccc(*)o3)o2)c1,122.5813993,,,,
49737348.0,*c1ccc2c(c1)c1cc(*)ccc1n2CC,206.6525359,,,,
52181246.0,*=C=C=C(COS(=O)(=O)c1ccc(OC)cc1)C(=*)COS(=O)(=O)c1ccc(OC)cc1,55.30555285,,,,
53248904.0,*CCCCCCCCCCn1c(=O)c2cc3c(=O)n(*)c(=O)c3c(Br)c2c1=O,137.1087261,,,,
63969847.0,*CCCCCc1nc2cc3sc(*)nc3cc2s1,87.36313445,,,,
64606581.0,*CC1CCC(*)C1,42.35931484,,0.3353333333333333,0.892956655,21.77794424
68581387.0,*CCCCc1nc(-c2ccc(-c3csc(*)n3)cc2)cs1,110.5188915,,,,
70273581.0,*Oc1ccc(OC(=O)c2ccc(C(*)=O)cc2)cc1-c1ccccc1,65.88587862,,,,
71102106.0,*/C=C/c1ccc(*)cc1,43.3930774,,,1.006135387,25.25187791
75443529.0,*CCCCCCCOc1ccc(C=C(C)c2ccc(O*)cc2)cc1,36.76976951,,,,
77456502.0,*c1ccc(-c2nc3cc(S(=O)(=O)c4ccc5nc(-c6ccccc6)c(-c6ccc(N7C(=O)C8OC9C(=O)N(*)C(=O)C9C8C7=O)cc6)nc5c4)ccc3nc2-c2ccccc2)cc1,373.476202,,,,
79415769.0,*CCOC(=O)N(C)c1ccc(C)c(N(C)C(=O)O*)c1,42.46691504,,,,
81531670.0,*CCCC1CCN(SC(=O)OCCCCOC(=O)SN2CCC(*)CC2)CC1,-6.032415023,,,,
89077090.0,*Cc1ccc(CN(CC)C(=O)CCCCCCCCCCCCCCCCC(=O)N(*)CC)cc1,4.279694171,,,,
112351140.0,*CCC(F)(F)C(*)(F)Cl,-41.84388225,,,,
112553722.0,*Nc1ccc(CC(*)=O)cc1,63.68828699,,,,
119301714.0,*CCNC(=O)CCCCCCCC(=O)NCCNC(=O)C(=O)N*,112.5256843,,,,
124053674.0,*Nc1c(Cl)cc(*)cc1Cl,-0.214281278,,,,
131992742.0,*c1cc(-c2ccccc2)c(*)[nH]1,120.4503456,,,,
133986624.0,*C#Cc1ccc(*)c(SCCCCCCCCCCCC)c1,53.41644401,,,,
150383443.0,*CCOCCOCCOC(=O)CCC(=O)O*,14.21396213,,,,
152467749.0,*c1cccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4cccc(N5C(=O)c6ccc(Oc7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)c4)cc3)cc2)c1,199.6619548,,,,
155951033.0,*CCOC(=O)c1ccc(CCc2ccc(C(=O)O*)cc2)cc1,53.2795594,,,,
175456331.0,*C(=O)CCN1CCN(CCC(=O)N2CCN(*)CC2)CC1,40.58060093,,,,
175513548.0,*CCCCCCCCCCOC(=O)CCC(=O)O*,1.783806133,,0.285,,
177977769.0,*Oc1ccc2nc3c(nc2c1)Sc1cc(-c2ccc4c(c2)Sc2nc5cc(*)ccc5nc2N4)ccc1N3,383.4,,,,
180651708.0,*CCCCCCSC(=O)CCCCCCCCC(=O)S*,-39.13613776,,,,
184043122.0,*[Si](*)(CCCCCC)CCCCCC,-11.37918107,,,,
190194752.0,*CCCCCCCCc1nnc(*)n1N,-41.92176029,,,,
196264517.0,*CCCCCCNC(=O)CCP(CCC(=O)N*)c1ccccc1,9.575432391,,,,
201251785.0,*C(=O)N1C(=O)N(C(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)cc2)C3=O)C2(CCCCC2)C1=O,277.0792131,,,,
207198573.0,*C(*)C(=O)OC(C)(C)CC,136.5678336,,,,
210803302.0,*NC(C(*)=O)C(C)C,153.0278775,,,,
215274198.0,*C#CC#Cc1ccc(*)s1,49.13696662,,,,
218059466.0,*/C(=C(/*)c1ccccc1)c1ccccc1,206.5698859,,,,
218350404.0,*CCCCCCCCCOC(=O)CCCCCCCC(=O)O*,3.667443154,,0.294,0.941870155,20.56975581
219039564.0,*c1ccc2c(c1)SC1=Nc3cc(-c4ccc5c(c4)N=C4Sc6cc(*)ccc6N=C4N5)ccc3NC1=N2,418.69,,0.506,1.086875784,27.5268485
223791997.0,*C(C)C=CC(C)S(*)(=O)=O,33.82674704,,,,
233996434.0,*C(=O)N1C(=O)N(C(=O)c2ccc3c(c2)C(=O)N(c2ccc(S(=O)(=O)c4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)cc2)C3=O)C(C)(CC)C1=O,242.6534046,,,,
